1/29/1990,2590.540039
2/1/1990,2627.25
3/1/1990,2707.209961
4/2/1990,2656.76001
5/1/1990,2876.659912
6/1/1990,2880.689941
7/2/1990,2905.199951
8/1/1990,2614.360107
9/4/1990,2452.47998
10/1/1990,2442.330078
11/1/1990,2559.649902
12/3/1990,2633.659912
1/2/1991,2736.389893
2/1/1991,2882.179932
3/1/1991,2913.860107
4/1/1991,2887.870117
5/1/1991,3027.5
6/3/1991,2906.75
7/1/1991,3024.820068
8/1/1991,3043.600098
9/3/1991,3016.77002
10/1/1991,3069.100098
11/1/1991,2894.679932
12/2/1991,3168.830078
1/2/1992,3223.399902
2/3/1992,3267.699951
3/2/1992,3235.5
4/1/1992,3359.100098
5/1/1992,3396.899902
6/1/1992,3318.5
7/1/1992,3393.800049
8/3/1992,3257.399902
9/1/1992,3271.699951
10/1/1992,3226.300049
11/2/1992,3305.199951
12/1/1992,3301.110107
1/4/1993,3310
2/1/1993,3370.810059
3/1/1993,3435.110107
4/1/1993,3427.550049
5/3/1993,3527.429932
6/1/1993,3516.080078
7/1/1993,3539.469971
8/2/1993,3651.25
9/1/1993,3555.120117
10/1/1993,3680.590088
11/1/1993,3683.949951
12/1/1993,3754.090088
1/3/1994,3978.360107
2/1/1994,3832.02002
3/1/1994,3635.959961
4/4/1994,3681.689941
5/2/1994,3758.370117
6/1/1994,3624.959961
7/1/1994,3764.5
8/1/1994,3913.419922
9/1/1994,3843.189941
10/3/1994,3908.120117
11/1/1994,3739.22998
12/1/1994,3834.439941
1/3/1995,3843.860107
2/1/1995,4011.050049
3/1/1995,4157.689941
4/3/1995,4321.27002
5/1/1995,4465.140137
6/1/1995,4556.100098
7/3/1995,4708.470215
8/1/1995,4610.560059
9/1/1995,4789.080078
10/2/1995,4755.47998
11/1/1995,5074.490234
12/1/1995,5117.120117
1/2/1996,5395.299805
2/1/1996,5485.620117
3/1/1996,5587.140137
4/1/1996,5569.080078
5/1/1996,5643.180176
6/3/1996,5654.629883
7/1/1996,5528.910156
8/1/1996,5616.209961
9/3/1996,5882.169922
10/1/1996,6029.379883
11/1/1996,6521.700195
12/2/1996,6448.27002
1/2/1997,6813.089844
2/3/1997,6877.740234
3/3/1997,6583.47998
4/1/1997,7009
5/1/1997,7331
6/2/1997,7672.799805
7/1/1997,8222.599609
8/1/1997,7622.399902
9/2/1997,7945.299805
10/1/1997,7442.100098
11/3/1997,7823.100098
12/1/1997,7908.299805
1/2/1998,7906.5
2/2/1998,8545.719727
3/2/1998,8799.80957
4/1/1998,9063.370117
5/1/1998,8899.950195
6/1/1998,8952.019531
7/1/1998,8883.290039
8/3/1998,7539.069824
9/1/1998,7842.620117
10/1/1998,8592.099609
11/2/1998,9116.549805
12/1/1998,9181.429688
1/4/1999,9358.830078
2/1/1999,9306.580078
3/1/1999,9786.160156
4/1/1999,10789.04004
5/3/1999,10559.74023
6/1/1999,10970.79981
7/1/1999,10655.15039
8/2/1999,10829.28027
9/1/1999,10336.9502
10/1/1999,10729.86035
11/1/1999,10877.80957
12/1/1999,11497.12012
1/3/2000,10940.53027
2/1/2000,10128.30957
3/1/2000,10921.91992
4/3/2000,10733.91016
5/1/2000,10522.33008
6/1/2000,10447.88965
7/3/2000,10521.98047
8/1/2000,11215.09961
9/1/2000,10650.91992
10/2/2000,10971.13965
11/1/2000,10414.49023
12/1/2000,10787.99023
1/2/2001,10887.36035
2/1/2001,10495.28027
3/1/2001,9878.780273
4/2/2001,10734.96973
5/1/2001,10911.94043
6/1/2001,10502.40039
7/2/2001,10522.80957
8/1/2001,9949.75
9/4/2001,8847.55957
10/1/2001,9075.139648
11/1/2001,9851.55957
12/3/2001,10021.57031
1/2/2002,9920
2/1/2002,10106.12988
3/1/2002,10403.94043
4/1/2002,9946.219727
5/1/2002,9925.25
6/3/2002,9243.259766
7/1/2002,8736.589844
8/1/2002,8663.5
9/3/2002,7591.930176
10/1/2002,8397.030273
11/1/2002,8896.089844
12/2/2002,8341.629883
1/2/2003,8053.810059
2/3/2003,7891.080078
3/3/2003,7992.129883
4/1/2003,8480.089844
5/1/2003,8850.259766
6/2/2003,8985.44043
7/1/2003,9233.799805
8/1/2003,9415.820312
9/2/2003,9275.05957
10/1/2003,9801.120117
11/3/2003,9782.459961
12/1/2003,10453.91992
1/2/2004,10488.07031
2/2/2004,10583.91992
3/1/2004,10357.7002
4/1/2004,10225.57031
5/3/2004,10188.4502
6/1/2004,10435.48047
7/1/2004,10139.70996
8/2/2004,10173.91992
9/1/2004,10080.26953
10/1/2004,10027.46973
11/1/2004,10428.01953
12/1/2004,10783.00977
1/3/2005,10489.94043
2/1/2005,10766.23047
3/1/2005,10503.75977
4/1/2005,10192.50977
5/2/2005,10467.48047
6/1/2005,10274.96973
7/1/2005,10640.91016
8/1/2005,10481.59961
9/1/2005,10568.7002
10/3/2005,10440.07031
11/1/2005,10805.87012
12/1/2005,10717.5
1/3/2006,10864.86035
2/1/2006,10993.41016
3/1/2006,11109.32031
4/3/2006,11367.13965
5/1/2006,11168.30957
6/1/2006,11150.21973
7/3/2006,11185.67969
8/1/2006,11381.15039
9/1/2006,11679.07031
10/2/2006,12080.73047
11/1/2006,12221.92969
12/1/2006,12463.15039
1/3/2007,12621.69043
2/1/2007,12268.62988
3/1/2007,12354.34961
4/2/2007,13062.91016
5/1/2007,13627.63965
6/1/2007,13408.62012
7/2/2007,13211.99023
8/1/2007,13357.74023
9/4/2007,13895.62988
10/1/2007,13930.00977
11/1/2007,13371.71973
